catprofesi,despersonalizacion,agotamiento,realizacion,Lid_total,CT_total,DEMA_riesgo,DEMA_carga,Dem_sitio,Dem_emo,Reco_total,EXT_casa,EXT_zona,inhibicion_Ac,inhibicion_(Tmp_RTA)
159,1,7,0,44,38,26,8,21,13,8,30,18,18,0.99,22.27
160,1,5,16,46,43,24,13,22,20,16,30,12,19,0.99,86.1
161,0,12,23,41,43,27,16,15,20,8,30,12,22,0.92,87.91
162,1,7,13,30,41,27,4,18,16,11,30,15,18,0.98,194.82
163,1,9,0,46,45,30,10,21,19,13,30,12,25,0.98,85.48
164,1,6,7,47,9,30,12,17,16,11,27,17,23,1.0,30.12
165,0,0,0,39,43,28,11,21,20,6,30,13,23,0.96,23.82
166,0,2,5,45,37,24,12,23,19,10,30,12,22,0.98,28.28
167,1,0,17,48,41,22,14,17,16,12,20,15,14,0.75,6.32
168,0,13,25,41,41,25,8,19,16,14,23,16,25,0.97,232.97
169,1,6,8,33,33,24,12,17,20,10,26,15,17,0.98,21.18
170,1,12,0,44,45,29,12,22,20,8,30,15,25,0.95,14.99
171,1,4,3,37,36,24,15,15,15,9,25,14,20,0.99,65.77
172,1,2,6,47,45,27,14,23,20,15,24,18,25,0.96,88.8
173,1,0,0,48,38,30,8,16,20,10,30,10,20,1.0,25.3
174,1,7,13,24,45,22,5,19,20,13,29,12,15,0.76,58.06
175,1,0,6,39,38,28,5,18,18,12,26,14,25,1.0,3.25
176,1,3,0,47,40,27,11,16,14,8,26,18,25,0.99,22.27
177,1,8,20,32,45,24,14,20,16,8,30,10,19,0.94,69.45
178,1,1,16,47,28,28,10,17,20,19,30,11,22,0.98,44.58
179,0,6,13,39,37,30,15,5,20,13,18,11,19,0.88,67.14
180,1,0,6,42,26,27,11,23,13,10,30,16,15,0.98,3.25
181,0,6,21,38,41,27,12,15,16,16,23,20,24,0.98,74.62
182,1,8,9,44,36,30,14,19,18,11,29,17,19,0.97,8.25
183,1,4,5,48,40,22,14,23,20,9,25,9,25,0.96,12.26
184,1,14,8,46,35,24,9,19,15,10,21,20,22,0.98,33.71
185,0,2,24,36,27,27,13,22,17,10,30,15,23,0.96,139.23
186,0,1,32,45,26,27,13,19,17,12,29,20,24,0.96,14.57
187,0,11,12,43,45,28,12,16,20,14,28,20,23,0.92,190.02
188,1,6,1,48,45,27,11,21,17,15,30,16,24,0.99,220.07
189,1,4,12,10,40,30,10,25,20,16,30,16,22,0.9,13.77
190,1,14,0,32,37,30,10,21,19,17,28,16,20,1.0,94.3
191,1,3,7,48,44,30,13,21,15,10,17,14,16,0.88,43.6
192,1,1,0,48,37,28,13,24,16,14,30,14,19,0.95,139.23
193,1,0,5,45,44,25,14,20,14,11,30,18,23,0.98,220.07
194,1,8,4,37,40,27,5,21,19,9,26,15,21,0.79,70.52
195,0,0,11,42,45,25,7,21,14,8,30,18,22,0.95,40.69
196,1,6,1,30,44,26,16,18,20,10,27,17,24,1.0,63.55
197,1,1,24,43,40,28,11,23,19,12,26,18,15,0.95,30.12
198,1,4,18,42,35,25,6,23,16,6,29,14,21,1.0,2.35
199,1,6,0,26,38,25,6,22,18,8,30,16,12,1.0,56.07
200,1,0,18,30,39,26,18,21,18,10,27,12,23,0.99,52.32
201,1,5,8,35,39,30,14,23,20,8,24,12,18,0.97,29.08
202,1,6,17,41,27,23,13,17,17,15,23,8,23,0.99,251.75
203,1,0,8,48,35,26,15,18,17,9,30,14,20,1.0,248.84
204,1,5,2,48,36,26,10,9,17,10,27,13,22,0.76,36.71
205,1,13,23,48,39,24,9,21,18,8,25,17,24,0.98,151.02
206,1,6,7,43,45,27,6,20,19,9,30,13,25,0.79,13.43
207,1,6,0,37,45,30,9,19,20,16,24,18,20,0.96,23.4
208,0,6,15,33,43,27,10,24,20,12,30,12,17,0.99,85.48
209,1,18,0,43,44,27,8,18,20,8,30,15,24,0.96,63.55
210,0,5,4,48,45,20,14,24,20,12,30,16,24,0.96,14.57
211,1,0,8,45,36,26,15,21,17,12,26,18,25,0.99,62.56
212,1,0,21,10,45,27,14,25,12,16,30,15,23,0.93,33.71
213,1,0,18,42,39,28,13,20,15,10,30,14,23,0.99,70.85
214,1,4,12,44,41,24,7,19,18,9,26,18,23,0.94,63.2
215,1,6,31,40,34,30,14,21,20,12,30,13,23,0.99,36.74
216,1,10,23,41,33,13,15,21,16,19,29,16,23,0.89,39.61
217,1,12,6,48,37,17,10,21,18,9,19,20,22,0.99,39.61
218,1,4,15,39,45,26,12,21,17,9,30,20,25,0.99,13.51
219,0,12,7,48,43,29,10,9,17,11,30,15,23,0.99,33.83
220,1,2,40,48,31,28,7,17,19,15,28,16,25,1.0,29.08
221,1,0,0,46,34,26,8,19,12,11,24,16,25,0.99,12.26
222,1,0,9,43,45,30,4,21,15,8,29,14,22,0.98,58.06
223,0,0,3,42,43,30,15,23,16,8,30,18,19,1.0,7.22
224,1,0,24,47,34,21,14,19,16,6,30,17,20,1.0,49.94
